"","TLEVISA","WALMEX","SANMEX","PINFRA","PENOLES","ICA","OHLMEX","MEXCHEM","LIVEPOL","LALA","LAB","KOFL","KIMBER","IENOVA","ICH","GRUMA","GMEXICO","GFREGIO","GFNORTE","GFINBUR","GENTERA","GCARSO","FEMSA","GAP","CEMEX","ELEKTRA","BIMBO","ASUR","AMX","ALSEA","AC","ALFA"
"742",100.17,43.01,30.34,225.28,229.76,4.27,24.12,41.36,197.99,11.86,11.86,137.15,39.39,71.3,56.01,271.68,40.27,91.26,96.11,34.77,34.11,77.85,164.34,140.19,10.99,333.15,51.71,249.37,13.28,68.49,111.53,32.74
"743",97.86,41.55,30.18,230.46,218.01,4.35,24.92,41.05,194.24,11.89,11.89,138.06,39.18,70.05,56.03,266.93,39.63,93,95.75,34.15,33.6,77.87,161.7,141.43,10.61,331.95,52.31,252.59,13.36,68.02,114.65,32.44
"744",95.36,42.32,30.29,228.39,213.88,4.6,25.02,41.29,199.34,11.71,11.71,138.86,39.73,73.27,55.55,262.98,40.37,94.89,95.98,33.94,33.49,76.57,164.2,145.07,10.77,328.86,51.51,249.41,12.95,66,113.02,32.3
"745",95.4,41.89,29.95,223.55,221.68,4.29,24.68,41.38,198.45,11.72,11.72,137.15,39.81,71.99,54.65,259.79,41.27,94.47,93.41,34.93,33.33,76.96,162.38,145.75,10.85,316.23,50.85,246.83,13.03,65.99,111.49,32.48
"746",95.51,41.87,30.34,223.95,227.03,4.22,24.66,41.31,196.81,12.12,12.12,136.02,40.22,72.42,56.57,258.96,42.76,95.18,94.65,34.6,33.75,77.9,163.69,146.12,10.77,319.24,50.34,251.65,13.46,65.65,111.62,32.39
"747",96.2,41.6,30.39,225.89,227.86,4.37,24.95,42.13,199.5,11.94,11.94,135.71,39.48,71.16,55.9,258.93,42.2,95.9,93.43,34.69,33.39,76.87,164.45,147.98,10.91,317.58,50.97,251.59,13.32,65.42,114.21,32.51
"748",94.81,41.28,30.53,226.73,219.34,4.27,25.26,41.16,193.74,12.03,12.03,134.92,39.88,71.6,56.12,255.06,41.32,96.31,94.88,34.62,33.38,77.69,160.15,145.35,10.67,333.63,50.54,250.78,12.96,64.77,111.99,32.59
"749",94.48,41.71,30.15,227.11,228.93,4.25,25.95,42.28,197.85,11.93,11.93,135.06,40.37,70.74,55.91,259.77,42.02,95.32,97.03,34.75,34.35,79.15,162.43,147.69,10.92,333.74,50.54,251.05,13.14,65.5,113.04,33.46
"750",98.51,42.23,31.01,229.07,237.48,4.28,26.77,41.97,200.9,12.05,12.05,139.8,41,70.25,58.55,264.19,43.06,96.63,97.65,34.96,34.17,81.48,161.68,150.14,11.26,343.22,51.82,254.67,13.27,65.81,114.68,33.99
"751",97.82,41.8,31,229.09,232.09,4.15,24.4,42.18,201.98,12.46,12.46,138.22,41.05,70.92,57.81,269.25,42.53,96.68,98.75,35.66,34.16,80.1,163.36,150.3,11.96,339.16,51.06,258.21,13.01,66.33,117.86,33.82
"752",96.05,40.77,31.03,233,231.78,4.22,24.38,42.36,202.24,12.98,12.98,141.46,40.88,72.49,58.7,269.64,43.08,98.67,98.51,35.39,34.97,80.99,163.51,150.12,12.44,339.21,51.51,260.81,13.16,67.45,119.97,33.8
"753",98.2,40.14,31.15,229.96,222.05,4.32,24.21,43.39,200.25,13.41,13.41,141.7,41.18,72.14,60.35,266.08,43.15,99.51,96.83,35.98,33.46,80.96,163.44,150.4,12.02,344.68,51.4,258.21,13.42,66.01,119.57,34.5
"754",96.43,40.14,31.11,224.57,219.59,4.35,26.65,42.92,198.99,13.4,13.4,141.33,41.32,71.63,60.45,266.47,43,98.52,98.25,34.9,33.45,79.93,161.42,151.41,12.22,343.32,51.52,259.3,13.53,66.6,117.95,34.63
"755",97.63,41.06,31.19,229.32,223.61,4.27,26.99,42.51,202.53,13.54,13.54,141.4,41.54,71,61.16,266.45,42.52,99.85,99.28,34.62,33.44,79.87,164.85,152.51,12.21,340.02,51.47,260.95,13.41,65.68,119.2,34.6
"756",96.94,41.91,31.66,232.12,221.56,4.28,27,42.6,200.5,13.56,13.56,143.08,41.87,70.91,62.41,272.4,42.51,100.9,99.43,35.14,34.47,82.33,166.67,152.82,12.45,340.78,51.48,254.86,13.43,66.55,119.59,34.85
"757",95.15,41,31.35,229.72,217.23,4.11,27.34,42.33,204.26,13.36,13.36,143.56,41.57,70.63,64.09,273.71,41.65,100.73,97.43,34.49,33.96,80.57,166.8,154.14,12.55,337.64,51.07,260.24,13.43,66.71,119.43,34.69
